species_sn,labels,values,colors
HS,"MS
33,194",33194,#65cdaaff
HS,"Ribo-seq
11,703",11703,#f0807fff
HS,"Both
3,017",3017,#eecd2bff
MM,"MS
3,194",3194,#65cdaaff
MM,"Ribo-seq
20,389",20389,#f0807fff
MM,"Both
638",638,#eecd2bff
CE,"MS
244",244,#65cdaaff
CE,"Ribo-seq
427",427,#f0807fff
CE,"Both
7",7,#eecd2bff
XT,"MS
32",32,#65cdaaff
XT,"Ribo-seq
0",0,#f0807fff
XT,"Both
0",0,#eecd2bff
SC,"MS
597",597,#65cdaaff
SC,"Ribo-seq
0",0,#f0807fff
SC,"Both
0",0,#eecd2bff
DR,"MS
323",323,#65cdaaff
DR,"Ribo-seq
339",339,#f0807fff
DR,"Both
2",2,#eecd2bff
PT,"MS
9",9,#65cdaaff
PT,"Ribo-seq
0",0,#f0807fff
PT,"Both
0",0,#eecd2bff
DM,"MS
668",668,#65cdaaff
DM,"Ribo-seq
581",581,#f0807fff
DM,"Both
30",30,#eecd2bff
BT,"MS
118",118,#65cdaaff
BT,"Ribo-seq
0",0,#f0807fff
BT,"Both
0",0,#eecd2bff
OA,"MS
176",176,#65cdaaff
OA,"Ribo-seq
0",0,#f0807fff
OA,"Both
0",0,#eecd2bff
AT,"MS
1,764",1764,#65cdaaff
AT,"Ribo-seq
0",0,#f0807fff
AT,"Both
0",0,#eecd2bff
