species_sn,mode,ms,n
CE,cs,1,112
CE,cs,1+,4
CE,dmo,1,91
CE,dmo,1+,7
CE,both,1+,12
XT,cs,1,14
XT,cs,1+,0
XT,dmo,1,15
XT,dmo,1+,0
XT,both,1+,7
SC,cs,1,306
SC,cs,1+,14
SC,dmo,1,200
SC,dmo,1+,2
SC,both,1+,22
DR,cs,1,163
DR,cs,1+,9
DR,dmo,1,189
DR,dmo,1+,7
DR,both,1+,286
PT,cs,1,5
PT,cs,1+,0
PT,dmo,1,6
PT,dmo,1+,0
PT,both,1+,1
DM,cs,1,107
DM,cs,1+,0
DM,dmo,1,74
DM,dmo,1+,0
DM,both,1+,17
OA,cs,1,103
OA,cs,1+,2
OA,dmo,1,82
OA,dmo,1+,1
OA,both,1+,26
AT,cs,1,693
AT,cs,1+,14
AT,dmo,1,432
AT,dmo,1+,13
AT,both,1+,141
HS,cs,1,3195
HS,cs,1+,243
HS,dmo,1,4283
HS,dmo,1+,910
HS,both,1+,979
