species_sn,circle,labels,values,colors
HS,inner,MS,3481,#3182bdff
HS,inner,Ribo-seq,4781,#e6550dff
HS,inner,Both,5786,#31a354ff
HS,outer,CDS,3350,#6baed6ff
HS,outer,CDS,107,#9ecae1ff
HS,outer,CDS,24,#3182bdff
HS,outer,5'UTR,3226,#fd8d3cff
HS,outer,5'UTR,1446,#fdae6bff
HS,outer,5'UTR,109,#e6550dff
HS,outer,3'UTR,5473,#74c476ff
HS,outer,3'UTR,264,#a2c4acff
HS,outer,3'UTR,49,#31a354ff
HS,outer,ncRNA,21118,#9e9ac8ff
HS,outer,ncRNA,9883,#b7bedcff
HS,outer,ncRNA,2835,#756bb1ff
MM,inner,MS,582,#3182bdff
MM,inner,Ribo-seq,1776,#e6550dff
MM,inner,Both,1832,#31a354ff
MM,outer,CDS,320,#6baed6ff
MM,outer,CDS,261,#9ecae1ff
MM,outer,CDS,1,#3182bdff
MM,outer,5'UTR,244,#fd8d3cff
MM,outer,5'UTR,1514,#fdae6bff
MM,outer,5'UTR,18,#e6550dff
MM,outer,3'UTR,416,#74c476ff
MM,outer,3'UTR,1410,#a2c4acff
MM,outer,3'UTR,6,#31a354ff
MM,outer,ncRNA,2212,#9e9ac8ff
MM,outer,ncRNA,17198,#b7bedcff
MM,outer,ncRNA,613,#756bb1ff
CE,inner,MS,197,#3182bdff
CE,inner,Ribo-seq,72,#e6550dff
CE,inner,Both,40,#31a354ff
CE,outer,CDS,186,#6baed6ff
CE,outer,CDS,11,#9ecae1ff
CE,outer,CDS,0,#3182bdff
CE,outer,5'UTR,9,#fd8d3cff
CE,outer,5'UTR,63,#fdae6bff
CE,outer,5'UTR,0,#e6550dff
CE,outer,3'UTR,8,#74c476ff
CE,outer,3'UTR,32,#a2c4acff
CE,outer,3'UTR,0,#31a354ff
CE,outer,ncRNA,41,#9e9ac8ff
CE,outer,ncRNA,321,#b7bedcff
CE,outer,ncRNA,7,#756bb1ff
XT,inner,MS,14,#3182bdff
XT,inner,Ribo-seq,3,#e6550dff
XT,inner,Both,13,#31a354ff
XT,outer,CDS,14,#6baed6ff
XT,outer,CDS,0,#9ecae1ff
XT,outer,CDS,0,#3182bdff
XT,outer,5'UTR,3,#fd8d3cff
XT,outer,5'UTR,0,#fdae6bff
XT,outer,5'UTR,0,#e6550dff
XT,outer,3'UTR,13,#74c476ff
XT,outer,3'UTR,0,#a2c4acff
XT,outer,3'UTR,0,#31a354ff
XT,outer,ncRNA,2,#9e9ac8ff
XT,outer,ncRNA,0,#b7bedcff
XT,outer,ncRNA,0,#756bb1ff
SC,inner,MS,584,#3182bdff
SC,inner,Ribo-seq,1,#e6550dff
SC,inner,Both,5,#31a354ff
SC,outer,CDS,584,#6baed6ff
SC,outer,CDS,0,#9ecae1ff
SC,outer,CDS,0,#3182bdff
SC,outer,5'UTR,1,#fd8d3cff
SC,outer,5'UTR,0,#fdae6bff
SC,outer,5'UTR,0,#e6550dff
SC,outer,3'UTR,5,#74c476ff
SC,outer,3'UTR,0,#a2c4acff
SC,outer,3'UTR,0,#31a354ff
SC,outer,ncRNA,7,#9e9ac8ff
SC,outer,ncRNA,0,#b7bedcff
SC,outer,ncRNA,0,#756bb1ff
DR,inner,MS,208,#3182bdff
DR,inner,Ribo-seq,169,#e6550dff
DR,inner,Both,137,#31a354ff
DR,outer,CDS,149,#6baed6ff
DR,outer,CDS,58,#9ecae1ff
DR,outer,CDS,1,#3182bdff
DR,outer,5'UTR,29,#fd8d3cff
DR,outer,5'UTR,140,#fdae6bff
DR,outer,5'UTR,0,#e6550dff
DR,outer,3'UTR,96,#74c476ff
DR,outer,3'UTR,41,#a2c4acff
DR,outer,3'UTR,0,#31a354ff
DR,outer,ncRNA,49,#9e9ac8ff
DR,outer,ncRNA,100,#b7bedcff
DR,outer,ncRNA,1,#756bb1ff
PT,inner,MS,3,#3182bdff
PT,inner,Ribo-seq,0,#e6550dff
PT,inner,Both,3,#31a354ff
PT,outer,CDS,3,#6baed6ff
PT,outer,CDS,0,#9ecae1ff
PT,outer,CDS,0,#3182bdff
PT,outer,5'UTR,0,#fd8d3cff
PT,outer,5'UTR,0,#fdae6bff
PT,outer,5'UTR,0,#e6550dff
PT,outer,3'UTR,3,#74c476ff
PT,outer,3'UTR,0,#a2c4acff
PT,outer,3'UTR,0,#31a354ff
PT,outer,ncRNA,3,#9e9ac8ff
PT,outer,ncRNA,0,#b7bedcff
PT,outer,ncRNA,0,#756bb1ff
DM,inner,MS,385,#3182bdff
DM,inner,Ribo-seq,106,#e6550dff
DM,inner,Both,85,#31a354ff
DM,outer,CDS,123,#6baed6ff
DM,outer,CDS,260,#9ecae1ff
DM,outer,CDS,2,#3182bdff
DM,outer,5'UTR,12,#fd8d3cff
DM,outer,5'UTR,94,#fdae6bff
DM,outer,5'UTR,0,#e6550dff
DM,outer,3'UTR,31,#74c476ff
DM,outer,3'UTR,54,#a2c4acff
DM,outer,3'UTR,0,#31a354ff
DM,outer,ncRNA,502,#9e9ac8ff
DM,outer,ncRNA,173,#b7bedcff
DM,outer,ncRNA,28,#756bb1ff
BT,inner,MS,16,#3182bdff
BT,inner,Ribo-seq,23,#e6550dff
BT,inner,Both,17,#31a354ff
BT,outer,CDS,16,#6baed6ff
BT,outer,CDS,0,#9ecae1ff
BT,outer,CDS,0,#3182bdff
BT,outer,5'UTR,23,#fd8d3cff
BT,outer,5'UTR,0,#fdae6bff
BT,outer,5'UTR,0,#e6550dff
BT,outer,3'UTR,17,#74c476ff
BT,outer,3'UTR,0,#a2c4acff
BT,outer,3'UTR,0,#31a354ff
BT,outer,ncRNA,62,#9e9ac8ff
BT,outer,ncRNA,0,#b7bedcff
BT,outer,ncRNA,0,#756bb1ff
OA,inner,MS,46,#3182bdff
OA,inner,Ribo-seq,6,#e6550dff
OA,inner,Both,10,#31a354ff
OA,outer,CDS,46,#6baed6ff
OA,outer,CDS,0,#9ecae1ff
OA,outer,CDS,0,#3182bdff
OA,outer,5'UTR,6,#fd8d3cff
OA,outer,5'UTR,0,#fdae6bff
OA,outer,5'UTR,0,#e6550dff
OA,outer,3'UTR,10,#74c476ff
OA,outer,3'UTR,0,#a2c4acff
OA,outer,3'UTR,0,#31a354ff
OA,outer,ncRNA,114,#9e9ac8ff
OA,outer,ncRNA,0,#b7bedcff
OA,outer,ncRNA,0,#756bb1ff
AT,inner,MS,650,#3182bdff
AT,inner,Ribo-seq,111,#e6550dff
AT,inner,Both,103,#31a354ff
AT,outer,CDS,650,#6baed6ff
AT,outer,CDS,0,#9ecae1ff
AT,outer,CDS,0,#3182bdff
AT,outer,5'UTR,111,#fd8d3cff
AT,outer,5'UTR,0,#fdae6bff
AT,outer,5'UTR,0,#e6550dff
AT,outer,3'UTR,103,#74c476ff
AT,outer,3'UTR,0,#a2c4acff
AT,outer,3'UTR,0,#31a354ff
AT,outer,ncRNA,900,#9e9ac8ff
AT,outer,ncRNA,0,#b7bedcff
AT,outer,ncRNA,0,#756bb1ff
