mod_mass,total_psm_count,mod_mass_spec_id,code
15.994915,62111747,415,A[15.994915]
-128.094963,29270334,3,K of protein[-128.094963]
14.01565,11641769,384,C-term of peptide[14.01565]
57.021464,6764973,756,N-term of peptide[57.021464]
-18.010565,4630944,152,C-term of peptide[-18.010565]
-156.101111,3980079,0,R of peptide[-156.101111]
12.0,3593702,350,C/F/H/K/N-term of protein/R/W/Y[12.0]
-17.026549,3437476,168,Q[-17.026549]
27.994915,3056623,505,K[27.994915]
15.994915,3054922,408,V[15.994915]
42.010565,2965746,627,C[42.010565]
31.972071,2960001,548,A[31.972071]
15.994915,2924451,413,E[15.994915]
28.0313,2851118,514,C-term of peptide[28.0313]
-2.01565,2804432,230,K of peptide[-2.01565]
6.018427,2700875,318,M[6.018427]
79.956815,2590730,855,C/S/T/Y[79.956815]
40.0313,2341350,613,G[40.0313]
128.094963,2300571,1086,N-term of peptide[128.094963]
-17.026549,2202257,163,K[-17.026549]
43.005814,2032825,644,A[43.005814]
15.994915,2028083,411,L[15.994915]
15.994915,1944394,417,D[15.994915]
13.979265,1710048,366,T[13.979265]
15.994915,1700086,419,T[15.994915]
42.010565,1600926,620,S[42.010565]
-48.003371,1568416,59,M[-48.003371]
15.994915,1547845,412,S[15.994915]
15.994915,1519308,422,I[15.994915]
114.031694,1496019,1016,K[114.031694]
128.107539,1475708,1088,K/N-term of peptide[128.107539]
-17.026549,1445517,169,N[-17.026549]
58.005479,1413292,763,N-term of peptide[58.005479]
42.010565,1411110,621,K[42.010565]
47.984744,1406375,695,C/F/W/Y[47.984744]
42.010565,1340577,625,T[42.010565]
3.994915,1326499,293,W[3.994915]
151.996571,1314182,1221,C[151.996571]
42.04695,1314018,634,A[42.04695]
156.089878,1299467,1252,K[156.089878]
15.994915,1291974,420,N[15.994915]
27.994915,1258982,507,T[27.994915]
156.101111,1239917,1253,N-term of peptide[156.101111]
190.074228,1212209,1393,C[190.074228]
156.11503,1190839,1254,A/C/H/K/L/R[156.11503]
-17.026549,1177052,164,N-term of peptide[-17.026549]
27.994915,1146379,504,S[27.994915]
249.981018,1138058,1595,C-term of peptide/D/N-term of peptide[249.981018]
15.994915,1135585,409,Q[15.994915]
17.026549,1134252,437,C-term of peptide/D/E[17.026549]
42.04695,1096812,632,N-term of peptide[42.04695]
28.0313,1078833,516,H[28.0313]
15.994915,1049932,424,H[15.994915]
