protein_seq_id,n_peptides,n_modified_sites
57271,1,1
57290,1,2
57429,1,1
57477,1,2
57504,1,0
57534,1,3
57622,1,2
57660,1,2
57712,1,1
57725,1,1
57769,1,0
58028,1,1
58539,1,1
58600,1,2
58632,1,1
58686,1,1
58777,1,1
58815,1,2
58943,1,1
59074,1,1
59098,1,2
59410,1,0
59455,1,0
59553,1,1
59564,1,1
59805,1,1
59884,1,1
59992,1,1
60013,1,2
60081,1,0
60089,1,2
60107,1,2
60157,1,2
60172,3,15
60177,3,15
60186,3,15
60267,1,3
60331,3,6
60473,1,1
60485,1,1
60667,1,2
60723,1,1
60844,1,1
61065,1,1
61185,1,1
61369,1,2
61585,1,2
61649,1,1
61705,1,2
61811,1,2
61983,1,2
62005,1,1
62048,1,1
62096,1,1
62163,1,3
62220,1,1
62255,1,1
62305,2,4
62354,1,3
62395,1,1
62444,1,1
62455,1,1
62488,1,1
62535,1,1
62651,1,1
62719,1,2
62791,1,2
62868,1,3
63057,1,1
63069,1,3
63148,1,1
63312,1,1
63602,1,1
63646,1,1
63718,1,2
63730,1,3
63734,1,1
63774,1,2
64126,1,1
64303,1,1
64306,1,1
64522,1,1
64554,1,1
64621,1,1
64624,1,2
64829,1,1
64855,1,0
65152,1,2
65377,1,1
65560,1,1
65589,1,0
65645,1,1
65649,1,1
65671,1,4
65834,1,1
65891,1,1
66183,1,1
66342,1,2
66648,2,0
66678,1,0
66875,1,1
66907,1,1
66969,1,1
66999,1,1
67332,1,1
67644,1,1
67720,1,3
68019,1,1
68360,1,1
68437,1,1
68442,1,2
68465,1,1
68477,1,2
68573,1,1
68706,1,1
68753,1,2
68770,1,3
68875,1,1
68911,1,2
69173,1,1
69376,1,1
69540,1,3
69648,1,0
69734,1,1
69786,1,3
69926,1,2
70070,1,2
70075,1,5
70083,1,0
70456,2,3
70457,1,0
70637,1,3
70903,1,1
70930,1,1
71096,1,0
71139,1,1
71424,4,8
71500,1,0
71503,1,2
71534,1,1
71733,1,2
71834,1,1
72431,1,2
72448,1,2
72506,2,0
72671,1,1
72787,1,0
72840,1,4
72852,1,1
72857,1,2
72873,1,2
73062,1,0
73218,1,1
73404,1,2
73491,1,3
73501,1,3
73657,1,1
73692,1,3
73750,1,1
73896,1,1
74213,1,1
74279,1,1
74282,1,1
74389,1,1
74417,1,1
74536,1,0
74715,1,1
74971,1,1
75283,1,1
75288,1,0
75331,1,3
75407,1,1
75421,1,2
75460,1,1
75669,1,2
75791,1,2
75796,1,2
75799,1,2
75884,1,1
75949,1,1
76029,1,1
76084,1,1
76267,1,1
76412,1,1
76414,1,1
76680,1,0
77022,1,2
77049,1,1
77298,1,1
77514,1,3
77704,1,0
77825,1,2
77834,1,0
77843,1,1
77960,1,1
78213,1,1
78262,1,2
78302,1,0
78328,1,2
78336,1,1
78352,1,3
78522,1,2
78585,1,2
78836,1,2
78927,1,2
79080,1,3
79140,1,2
79253,1,2
79312,11,43
79402,1,3
79543,1,3
79621,1,1
79622,1,3
79728,1,0
79873,1,0
79940,1,1
79950,1,2
80160,1,1
80537,1,1
80605,1,2
80619,1,1
80729,1,1
80734,1,1
80766,1,1
81119,1,1
81124,1,1
81131,1,3
81187,1,3
81243,1,3
81370,1,2
81371,1,2
81375,1,2
81477,1,1
81478,1,1
81525,1,1
81536,1,2
81656,1,1
81659,1,2
81750,1,0
81823,1,1
81954,1,0
82036,1,2
82078,1,0
82175,1,1
82183,1,1
82295,1,1
82357,1,1
82517,2,3
82519,1,2
82596,1,0
82828,5,13
82866,1,0
82871,1,1
83275,1,1
83365,1,1
83507,1,1
83660,1,1
83685,1,1
83827,1,1
84195,1,1
84713,1,2
84729,1,0
84745,1,1
84851,1,0
84897,1,1
84910,1,2
84938,1,2
85018,1,1
85028,1,3
85056,1,2
85058,1,2
85107,1,1
85161,1,0
85388,1,2
85389,1,2
85409,1,2
85456,1,2
85461,1,2
85705,1,0
85909,1,1
86102,1,2
86239,1,1
86327,1,0
86690,1,2
86693,2,2
86701,1,1
86827,1,1
86926,1,1
87041,1,1
87246,1,0
87311,1,0
87509,1,1
87692,1,2
87695,1,1
87722,1,3
87765,1,1
87793,1,1
87896,1,2
87913,1,1
87932,1,0
87969,1,1
88235,1,1
88318,1,1
88481,1,0
88491,1,1
88762,1,1
88796,1,2
88832,1,3
89031,1,2
89200,1,1
89221,1,1
89773,1,2
89981,1,1
89985,1,1
90182,1,1
90416,3,7
90422,6,17
90446,1,1
90454,1,1
90571,1,1
90663,1,0
90699,1,3
90749,1,2
90820,1,1
90825,1,3
90850,1,2
90908,1,1
91001,1,1
91043,1,1
91170,1,2
91188,1,1
91274,1,4
91465,1,4
91654,1,1
91736,1,0
91839,1,1
91841,1,3
91961,1,1
91969,1,0
92122,1,1
92305,1,1
92443,1,2
92533,1,2
92703,1,2
92759,1,1
92805,1,1
92866,1,2
92943,1,1
93080,1,1
93085,1,1
93092,1,1
93111,1,1
93246,1,2
93270,1,1
93353,1,1
93411,1,1
93615,1,1
93790,1,1
93846,1,0
93857,1,1
93897,1,3
93947,1,1
93982,1,1
94023,2,3
94270,1,3
94318,1,2
94411,1,1
94568,1,1
94593,1,4
94950,1,1
95170,1,2
95176,1,2
95289,1,1
95394,1,4
95518,1,2
95524,1,2
95543,1,2
95548,1,1
95680,1,3
96245,1,1
96287,1,2
96414,1,1
96527,1,1
96594,1,1
96645,1,2
96671,1,0
96755,1,1
96877,1,1
96914,1,2
97006,1,1
97012,1,1
97164,1,0
97188,1,1
97313,1,1
97718,1,1
97801,1,0
97804,1,1
97864,1,2
97904,1,0
97907,1,1
98524,1,2
98531,1,2
98539,1,1
98844,1,2
98991,1,1
99004,1,0
99017,1,1
99049,1,2
99088,1,2
99103,1,0
99118,1,2
99119,1,1
99150,1,1
99167,1,0
99172,1,2
99189,1,0
99191,1,2
99249,1,1
99298,1,1
99465,1,1
99608,1,1
99747,1,1
99754,1,1
99755,3,4
99814,1,1
99844,1,2
100074,1,0
100120,1,1
100194,1,4
100297,1,1
100300,1,1
100429,1,2
100450,1,1
100558,1,2
100681,6,25
100813,1,1
100946,1,1
101226,1,1
101265,1,2
101312,1,1
101441,1,2
101500,1,4
101613,1,3
101794,1,2
101989,1,1
101999,1,1
102015,1,1
102105,1,1
102220,1,1
102335,1,1
102369,1,3
102395,1,1
102411,1,1
102483,1,0
102685,1,0
102694,1,0
102745,1,1
102850,1,1
103144,1,0
103152,1,0
103175,1,1
103186,2,0
103203,1,1
103217,1,1
103382,1,0
103564,1,1
103792,1,1
103897,1,1
104168,1,2
104266,1,2
104291,1,2
104514,1,2
104573,1,3
104606,1,1
104734,1,2
104794,1,1
104856,1,2
104914,1,2
104930,1,4
105032,1,1
105036,1,1
105039,1,1
105154,1,0
105415,1,1
105438,1,4
105471,1,4
105810,1,2
105997,1,2
106001,1,0
106310,1,1
106952,1,2
106977,1,1
107165,1,3
107185,1,1
107717,1,1
107748,1,1
107829,1,1
107894,1,2
107964,1,1
107976,1,0
108100,1,1
108409,1,2
108424,1,1
108484,1,2
108806,1,1
109537,1,1
109662,1,0
109931,1,2
109998,1,2
110094,1,1
110187,1,3
110207,1,1
110399,2,2
110445,1,1
110635,1,1
110711,1,1
110841,1,1
110844,1,5
110854,1,1
110860,1,1
111013,1,1
111061,1,1
111220,1,3
111425,1,1
111490,1,1
111598,2,0
111657,1,2
111701,1,1
111811,1,0
111842,1,2
111864,1,2
111897,1,0
112036,1,1
112092,1,2
112104,1,1
112183,2,11
112195,1,1
112232,1,2
112419,1,0
112516,1,1
112568,1,4
112615,1,0
113012,1,1
113048,1,2
113050,1,0
113546,1,2
113548,1,2
113698,1,4
113717,1,2
113718,1,3
113755,1,1
113846,1,3
113945,1,1
113952,2,1
113957,2,1
113958,2,1
113982,1,1
114064,1,0
114132,1,0
114135,1,2
114147,1,2
114207,1,1
114213,1,1
114261,1,1
114266,1,1
114506,1,2
114640,1,1
114694,1,1
114809,2,2
115065,1,2
115108,1,1
115154,1,1
115219,1,1
115327,1,1
115499,1,3
115555,1,0
115637,1,1
115735,1,1
115802,1,2
115980,1,1
116433,1,1
116489,1,1
116545,1,1
116631,1,1
116677,1,1
116965,1,4
116974,1,2
116982,1,2
117249,1,3
117266,1,0
117298,1,1
117547,1,1
117569,1,0
117580,1,1
117582,4,0
117584,1,1
117607,1,1
117865,1,2
117987,1,2
118162,1,1
118189,1,1
118229,1,1
118741,1,0
118921,1,0
119007,1,0
119079,1,1
119139,1,0
119372,1,2
119377,1,1
119420,1,2
119463,1,1
119711,1,1
119841,1,1
119926,1,1
119965,1,2
120155,1,1
120331,1,2
120440,1,1
120459,1,1
120772,1,1
120963,1,4
120988,1,2
121021,1,1
121103,4,4
121263,1,0
121267,1,0
121328,1,1
121366,1,1
121419,1,3
121420,1,1
121460,1,1
121700,1,1
121747,1,1
121763,1,1
121941,1,0
121988,1,1
121994,1,1
122287,1,1
122294,1,1
122375,1,3
122861,1,1
123063,2,7
123079,1,0
123082,1,3
123394,1,1
123396,1,4
123461,1,3
123477,1,3
123567,1,3
123600,1,3
123653,1,0
123751,1,0
123808,1,2
123812,1,1
123851,1,1
123853,1,1
123871,1,1
123898,1,2
123971,1,1
124054,1,2
124064,1,1
124067,1,2
124072,1,3
124437,1,1
124651,1,1
124679,2,1
124736,1,1
124742,1,1
124769,1,0
124990,1,1
125078,1,2
125106,1,2
125119,1,1
125128,1,1
125217,1,1
125255,1,2
125358,1,0
125510,1,2
125532,1,2
125534,1,2
125587,1,2
125679,1,1
125691,1,2
125958,1,1
126003,1,1
126008,1,2
126083,1,0
126163,1,2
126363,1,2
126386,1,1
126478,1,1
126515,1,1
126529,1,1
126587,1,1
126597,1,1
126637,1,0
126833,1,1
126883,1,1
126937,1,1
126966,1,0
126989,1,1
127002,1,1
127094,1,2
127107,1,0
127141,1,1
127233,1,2
127287,1,1
127302,1,1
127388,1,1
127417,1,1
127705,1,2
127795,1,1
127857,1,2
127863,1,1
127891,1,1
128052,1,0
128099,2,2
128112,1,1
128629,1,3
128634,1,3
128675,1,2
128734,1,1
128762,1,1
128899,1,1
129034,1,0
129045,1,1
129055,1,1
129057,1,0
129064,1,1
129131,1,1
129267,1,2
129270,1,1
129353,1,1
129389,1,0
129396,1,1
129516,1,1
129606,1,1
129623,1,2
129722,3,3
129967,1,2
129971,1,2
130051,1,1
130360,1,1
130525,1,0
130597,1,1
130635,1,2
130638,1,1
130992,1,1
130997,2,3
131107,1,2
131260,1,1
131395,1,1
131450,1,1
131620,1,1
131670,1,1
131704,1,3
131732,1,3
131741,1,3
131758,1,3
131767,1,3
131775,1,3
131903,1,1
132230,1,1
132309,1,1
132673,1,1
132839,1,1
132853,1,1
132917,1,1
132979,1,1
133236,1,1
133248,1,2
133461,1,1
133567,1,1
133570,1,1
133739,1,1
133833,1,4
133849,1,1
133962,1,2
134066,1,3
134156,1,1
134349,1,1
134392,1,1
134497,1,2
134598,1,1
134814,1,1
134837,1,1
134851,1,2
134859,1,2
134914,1,2
134975,1,2
135517,1,1
135585,2,0
135659,1,2
135751,1,1
135754,1,0
135977,1,1
136034,1,1
136085,1,1
136151,1,2
136187,1,1
136296,1,1
136299,1,1
136417,1,1
136528,1,1
136771,1,3
136988,1,1
137232,1,1
137321,1,1
137484,1,1
137537,1,2
137624,1,1
137639,1,1
137693,1,2
137733,1,6
137956,2,3
138031,1,4
138232,1,2
138235,1,1
138530,1,1
138775,1,2
138877,1,0
138896,1,1
138927,1,3
138930,1,3
139228,1,2
139233,1,1
139293,1,2
139297,1,2
139299,1,2
139389,1,2
139508,1,2
139749,1,1
139795,1,1
139927,3,0
139971,1,1
140002,1,3
140105,1,3
140115,1,2
140205,1,1
140242,1,2
140245,1,2
140248,1,1
140313,1,1
140533,1,2
140565,1,1
140600,1,3
140612,1,2
140633,1,3
140648,1,2
140755,1,1
140826,1,3
140993,1,1
141406,1,2
141412,1,2
141445,1,1
141752,1,1
141851,1,1
141931,1,2
142061,1,3
142177,1,1
142329,1,1
142387,1,1
142430,1,3
142644,1,6
142871,1,1
142955,1,1
142968,1,1
143053,1,2
143439,1,1
143462,1,0
143624,1,1
143704,1,1
143753,1,2
143819,1,1
143869,1,0
143889,1,2
143892,1,2
143914,1,1
143931,1,1
144003,1,2
144121,1,3
144971,1,2
145094,1,2
145429,1,2
145441,1,2
145548,1,3
145642,1,1
145681,1,2
145722,1,1
145830,1,3
146183,1,1
146195,1,1
146298,1,1
146641,1,1
146855,1,1
146938,1,0
147070,1,1
147089,1,1
147326,1,1
147462,1,1
147572,1,1
147625,1,0
147646,8,53
147665,9,55
147763,1,1
147898,1,1
147955,1,2
147959,1,2
148048,1,2
148336,1,1
148343,1,0
